"id","BK_id","Year","Price","Lost","Reason_for_Lost","DateIn"
"204","173","2009","543","FALSE",NULL,"2019-01-03"
"205","173","2009","543","FALSE",NULL,"2019-01-03"
"206","173","2009","543","FALSE",NULL,"2019-01-03"
"207","174","2017","710","FALSE",NULL,"2019-01-03"
"208","175","2017","464","FALSE",NULL,"2019-01-03"
"209","176","2016","406","FALSE",NULL,"2019-01-03"
"210","177","2016","654","FALSE",NULL,"2019-01-03"
"211","177","2016","654","FALSE",NULL,"2019-01-03"
"212","177","2016","654","FALSE",NULL,"2019-01-03"
"213","177","2016","654","FALSE",NULL,"2019-01-03"
"214","178","2010","645","FALSE",NULL,"2019-01-03"
"215","178","2010","645","FALSE",NULL,"2019-01-03"
"216","178","2010","645","FALSE",NULL,"2019-01-03"
"217","179","2003","250","FALSE",NULL,"2019-01-03"
"218","180","2018","453","FALSE",NULL,"2019-01-03"
"219","125","2004","350","FALSE",NULL,"2019-01-03"
"220","181","2011","383","FALSE",NULL,"2019-01-03"
"221","181","2011","383","FALSE",NULL,"2019-01-03"
"222","182","2016","350","FALSE",NULL,"2019-01-03"
"223","183","2014","350","FALSE",NULL,"2019-01-03"
"224","183","2014","350","FALSE",NULL,"2019-01-03"
"225","183","2014","350","FALSE",NULL,"2019-01-03"
"226","183","2014","350","FALSE",NULL,"2019-01-03"
"227","184","2011","400","FALSE",NULL,"2019-01-03"
"228","185","2013","305","FALSE",NULL,"2019-01-03"
"229","185","2013","305","FALSE",NULL,"2019-01-03"
"230","186","2015","700","FALSE",NULL,"2019-01-03"
"231","187","2018","568","FALSE",NULL,"2019-01-03"
"232","188","2018","870","FALSE",NULL,"2019-01-03"
"233","189","2015","100","FALSE",NULL,"2019-01-05"
"234","190","2015","100","FALSE",NULL,"2019-01-05"
"235","191","2015","100","FALSE",NULL,"2019-01-05"
"236","192","2015","100","FALSE",NULL,"2019-01-05"
"237","193","2015","100","FALSE",NULL,"2019-01-05"
"238","191","2015","100","FALSE",NULL,"2019-01-05"
"239","194","2015","100","FALSE",NULL,"2019-01-05"
"240","196","2015","100","FALSE",NULL,"2019-01-05"
"241","197","2015","100","FALSE",NULL,"2019-01-05"
"242","198","2015","100","FALSE",NULL,"2019-01-05"
