"id","ClassRegisterID","Bal_bf","Uniform","uniform_no","Transport","Transport_months","Lunch","Lunch_months","OtherLevyIndv"
"260","296","50.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"261","297","200.00","0.00","700.00","0.00","0.00","600.00","0.00","0.00"
"262","299","1050.00","0.00","0.00","0.00","0.00","600.00","0.00","0.00"
"263","300","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"264","301","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2100.00"
"267","304","200.00","0.00","1400.00","1100.00","3.00","600.00","3.00","0.00"
"268","305","200.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"271","308","1500.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"272","309","3900.00","0.00","0.00","1300.00","3.00","600.00","3.00","50.00"
"273","310","-900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"274","313","0.00","800.00","700.00","700.00","1.50","600.00","3.00","100.00"
"275","315","0.00","0.00","2100.00","1100.00","3.00","600.00","3.00","300.00"
"276","316","0.00","0.00","2400.00","500.00","3.00","600.00","3.00","900.00"
"277","317","0.00","0.00","1400.00","0.00","0.00","0.00","0.00","0.00"
"279","314","0.00","0.00","1600.00","1000.00","3.00","600.00","3.00","300.00"
"280","329","0.00","0.00","2250.00","1100.00","3.00","600.00","3.00","50.00"
"281","321","0.00","1400.00","0.00","0.00","0.00","600.00","3.00","100.00"
"282","324","0.00","0.00","2250.00","0.00","0.00","0.00","0.00","0.00"
"283","327","0.00","0.00","2800.00","1100.00","3.00","600.00","3.00","100.00"
"284","322","0.00","0.00","0.00","500.00","3.00","600.00","0.00","800.00"
"285","330","0.00","3250.00","0.00","1100.00","3.00","600.00","3.00","50.00"
"286","326","0.00","0.00","2400.00","0.00","0.00","600.00","3.00","0.00"
"287","333","0.00","700.00","0.00","1000.00","3.00","600.00","3.00","0.00"
"289","328","0.00","0.00","3500.00","1100.00","3.00","600.00","3.00","250.00"
"290","332","0.00","0.00","3000.00","1100.00","3.00","600.00","3.00","300.00"
"291","323","0.00","0.00","2100.00","700.00","3.00","600.00","3.00","300.00"
"292","325","0.00","0.00","1400.00","0.00","0.00","0.00","0.00","300.00"
"293","335","0.00","0.00","700.00","0.00","0.00","0.00","0.00","-1050.00"
"295","331","0.00","0.00","2300.00","1000.00","3.00","600.00","3.00","400.00"
"296","336","0.00","0.00","0.00","1100.00","3.00","600.00","3.00","250.00"
"298","195","900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"299","318","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"300","339","0.00","700.00","0.00","900.00","2.00","600.00","0.00","50.00"
"301","340","0.00","700.00","0.00","900.00","3.00","0.00","0.00","250.00"
"302","231","4790.00","0.00","0.00","800.00","3.00","600.00","3.00","0.00"
"303","343","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"304","123","600.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"306","346","0.00","3300.00","0.00","700.00","3.00","600.00","3.00","100.00"
"308","348","0.00","0.00","1900.00","700.00","3.00","600.00","3.00","300.00"
"309","349","0.00","700.00","0.00","0.00","0.00","0.00","0.00","300.00"
"310","352","0.00","3000.00","0.00","0.00","0.00","0.00","0.00","100.00"
"311","350","0.00","0.00","0.00","900.00","3.00","600.00","3.00","300.00"
"312","353","0.00","0.00","1400.00","0.00","0.00","0.00","0.00","300.00"
"313","354","0.00","0.00","1550.00","700.00","3.00","0.00","0.00","100.00"
"314","355","0.00","3000.00","0.00","1350.00","3.00","600.00","3.00","300.00"
"315","356","0.00","3000.00","0.00","1350.00","3.00","600.00","3.00","300.00"
"316","357","0.00","3000.00","0.00","1350.00","3.00","600.00","3.00","300.00"
"318","334","0.00","0.00","700.00","0.00","0.00","0.00","0.00","-1050.00"
"319","320","0.00","0.00","0.00","900.00","1.50","0.00","0.00","-1650.00"
"323","373","0.00","1550.00","1600.00","900.00","3.00","600.00","3.00","100.00"
"324","374","0.00","0.00","700.00","0.00","0.00","0.00","0.00","-1650.00"
"325","375","0.00","700.00","0.00","0.00","0.00","0.00","0.00","300.00"
"326","376","0.00","0.00","2100.00","1200.00","2.50","600.00","2.50","250.00"
"327","377","0.00","0.00","2100.00","1200.00","2.50","600.00","2.50","250.00"
"328","362","0.00","0.00","2550.00","700.00","3.00","600.00","3.00","100.00"
"329","367","0.00","700.00","0.00","1000.00","3.00","600.00","3.00","300.00"
"330","380","0.00","0.00","1550.00","1300.00","3.00","0.00","0.00","50.00"
"331","381","0.00","0.00","1550.00","0.00","0.00","0.00","0.00","300.00"
"332","382","0.00","2100.00","0.00","700.00","3.00","600.00","2.50","100.00"
"333","384","-1350.00","700.00","0.00","0.00","0.00","0.00","0.00","50.00"
"334","385","-1050.00","700.00","0.00","0.00","0.00","0.00","0.00","50.00"
"335","386","0.00","1400.00","0.00","700.00","2.00","600.00","2.00","300.00"
"336","387","0.00","0.00","3000.00","700.00","2.00","600.00","2.00","200.00"
"337","390","0.00","0.00","0.00","900.00","2.00","600.00","2.00","0.00"
"338","391","0.00","3850.00","0.00","900.00","2.00","600.00","2.00","100.00"
"339","360","0.00","3000.00","300.00","900.00","3.00","600.00","3.00","200.00"
"340","383","0.00","0.00","0.00","500.00","1.50","0.00","0.00","0.00"
"341","115","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2700.00"
"342","365","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2700.00"
"343","366","0.00","0.00","450.00","0.00","0.00","0.00","0.00","0.00"
"344","341","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2100.00"
"345","359","0.00","0.00","4000.00","900.00","3.00","600.00","3.00","0.00"
"346","389","0.00","0.00","700.00","1400.00","3.00","600.00","3.00","100.00"
"347","379","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"348","388","0.00","0.00","700.00","1400.00","3.00","600.00","3.00","0.00"
"349","364","0.00","0.00","1400.00","900.00","3.00","600.00","3.00","300.00"
"350","361","3600.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"351","394","0.00","3150.00","0.00","1100.00","2.00","600.00","1.50","300.00"
"352","395","0.00","1550.00","0.00","900.00","2.00","600.00","2.00","0.00"
"353","398","0.00","1400.00","0.00","900.00","1.50","0.00","0.00","300.00"
"354","408","0.00","3300.00","0.00","700.00","1.00","600.00","1.00","50.00"
"355","403","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"356","393","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"357","407","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"358","410","4600.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"359","411","0.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"360","412","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"361","424","6450.00","0.00","0.00","1000.00","3.00","600.00","3.00","0.00"
"362","413","0.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"363","414","17400.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"364","423","0.00","0.00","0.00","500.00","3.00","600.00","3.00","0.00"
"365","415","4450.00","0.00","0.00","800.00","3.00","600.00","3.00","0.00"
"366","416","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"367","417","0.00","0.00","0.00","800.00","3.00","600.00","3.00","0.00"
"368","418","0.00","0.00","0.00","500.00","3.00","0.00","0.00","0.00"
"369","419","5800.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"370","420","600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
